onset	duration	trial_type	value	sample
2.231	0.6	NonTarget	1	2231
2.324	0.6	NonTarget	1	2324
2.423	0.6	NonTarget	1	2423
2.523	0.6	NonTarget	1	2523
2.624	0.6	NonTarget	1	2624
2.723	0.6	NonTarget	1	2723
2.823	0.6	NonTarget	1	2823
2.923	0.6	NonTarget	1	2923
3.023	0.6	NonTarget	1	3023
3.123	0.6	NonTarget	1	3123
3.223	0.6	NonTarget	1	3223
3.323	0.6	NonTarget	1	3323
3.423	0.6	NonTarget	1	3423
3.523	0.6	NonTarget	1	3523
3.623	0.6	NonTarget	1	3623
3.723	0.6	NonTarget	1	3723
3.823	0.6	NonTarget	1	3823
3.923	0.6	NonTarget	1	3923
4.023	0.6	NonTarget	1	4023
4.123	0.6	NonTarget	1	4123
4.223	0.6	NonTarget	1	4223
4.323	0.6	NonTarget	1	4323
4.423	0.6	NonTarget	1	4423
4.523	0.6	NonTarget	1	4523
4.623	0.6	NonTarget	1	4623
4.723	0.6	NonTarget	1	4723
4.823	0.6	NonTarget	1	4823
4.923	0.6	NonTarget	1	4923
5.023	0.6	NonTarget	1	5023
5.123	0.6	NonTarget	1	5123
5.223	0.6	NonTarget	1	5223
5.323	0.6	NonTarget	1	5323
5.423	0.6	NonTarget	1	5423
5.523	0.6	NonTarget	1	5523
5.623	0.6	NonTarget	1	5623
5.723	0.6	NonTarget	1	5723
5.823	0.6	NonTarget	1	5823
5.923	0.6	NonTarget	1	5923
6.023	0.6	NonTarget	1	6023
6.123	0.6	NonTarget	1	6123
6.223	0.6	NonTarget	1	6223
6.323	0.6	NonTarget	1	6323
6.423	0.6	NonTarget	1	6423
6.523	0.6	NonTarget	1	6523
6.623	0.6	NonTarget	1	6623
6.723	0.6	NonTarget	1	6723
6.823	0.6	NonTarget	1	6823
6.923	0.6	NonTarget	1	6923
7.023	0.6	NonTarget	1	7023
7.123	0.6	NonTarget	1	7123
7.223	0.6	NonTarget	1	7223
7.323	0.6	NonTarget	1	7323
7.423	0.6	NonTarget	1	7423
7.523	0.6	NonTarget	1	7523
7.623	0.6	NonTarget	1	7623
7.723	0.6	NonTarget	1	7723
7.823	0.6	NonTarget	1	7823
7.923	0.6	NonTarget	1	7923
8.023	0.6	NonTarget	1	8023
8.123	0.6	NonTarget	1	8123
8.223	0.6	NonTarget	1	8223
8.323	0.6	NonTarget	1	8323
8.423	0.6	NonTarget	1	8423
8.523	0.6	NonTarget	1	8523
8.623	0.6	NonTarget	1	8623
8.723	0.6	NonTarget	1	8723
8.823	0.6	NonTarget	1	8823
8.923	0.6	NonTarget	1	8923
9.023	0.6	NonTarget	1	9023
9.123	0.6	NonTarget	1	9123
9.223	0.6	NonTarget	1	9223
9.323	0.6	NonTarget	1	9323
9.423	0.6	Target	2	9423
9.523	0.6	NonTarget	1	9523
9.623	0.6	NonTarget	1	9623
9.723	0.6	NonTarget	1	9723
9.823	0.6	NonTarget	1	9823
9.923	0.6	NonTarget	1	9923
10.023	0.6	NonTarget	1	10023
10.123	0.6	NonTarget	1	10123
10.223	0.6	NonTarget	1	10223
10.323	0.6	NonTarget	1	10323
10.423	0.6	NonTarget	1	10423
10.523	0.6	NonTarget	1	10523
10.623	0.6	NonTarget	1	10623
10.723	0.6	NonTarget	1	10723
10.823	0.6	NonTarget	1	10823
10.923	0.6	NonTarget	1	10923
11.023	0.6	NonTarget	1	11023
11.123	0.6	NonTarget	1	11123
11.223	0.6	NonTarget	1	11223
11.323	0.6	NonTarget	1	11323
11.423	0.6	NonTarget	1	11423
11.523	0.6	NonTarget	1	11523
11.623	0.6	Target	2	11623
11.723	0.6	NonTarget	1	11723
